0	Generic	NotDef	.notdef
1	Proportional	Latin	uni0020
2	Proportional	Latin	uni0021
3	Proportional	Latin	uni0022
4	Proportional	Latin	uni0023
5	Proportional	Latin	uni0024
6	Proportional	Latin	uni0025
7	Proportional	Latin	uni0026
8	Proportional	Latin	uni0027
9	Proportional	Latin	uni0028
10	Proportional	Latin	uni0029
11	Proportional	Latin	uni002A
12	Proportional	Latin	uni002B
13	Proportional	Latin	uni002C
14	Proportional	Latin	uni002D
15	Proportional	Latin	uni002E
16	Proportional	Latin	uni002F
17	Proportional	Latin	uni0030
18	Proportional	Latin	uni0031
19	Proportional	Latin	uni0032
20	Proportional	Latin	uni0033
21	Proportional	Latin	uni0034
22	Proportional	Latin	uni0035
23	Proportional	Latin	uni0036
24	Proportional	Latin	uni0037
25	Proportional	Latin	uni0038
26	Proportional	Latin	uni0039
27	Proportional	Latin	uni003A
28	Proportional	Latin	uni003B
29	Proportional	Latin	uni003C
30	Proportional	Latin	uni003D
31	Proportional	Latin	uni003E
32	Proportional	Latin	uni003F
33	Proportional	Latin	uni0040
34	Proportional	Latin	uni0041
35	Proportional	Latin	uni0042
36	Proportional	Latin	uni0043
37	Proportional	Latin	uni0044
38	Proportional	Latin	uni0045
39	Proportional	Latin	uni0046
40	Proportional	Latin	uni0047
41	Proportional	Latin	uni0048
42	Proportional	Latin	uni0049
43	Proportional	Latin	uni004A
44	Proportional	Latin	uni004B
45	Proportional	Latin	uni004C
46	Proportional	Latin	uni004D
47	Proportional	Latin	uni004E
48	Proportional	Latin	uni004F
49	Proportional	Latin	uni0050
50	Proportional	Latin	uni0051
51	Proportional	Latin	uni0052
52	Proportional	Latin	uni0053
53	Proportional	Latin	uni0054
54	Proportional	Latin	uni0055
55	Proportional	Latin	uni0056
56	Proportional	Latin	uni0057
57	Proportional	Latin	uni0058
58	Proportional	Latin	uni0059
59	Proportional	Latin	uni005A
60	Proportional	Latin	uni005B
61	Proportional	Latin	uni005C
62	Proportional	Latin	uni005D
63	Proportional	Latin	uni005E
64	Proportional	Latin	uni005F
65	Proportional	Latin	uni0060
66	Proportional	Latin	uni0061
67	Proportional	Latin	uni0062
68	Proportional	Latin	uni0063
69	Proportional	Latin	uni0064
70	Proportional	Latin	uni0065
71	Proportional	Latin	uni0066
72	Proportional	Latin	uni0067
73	Proportional	Latin	uni0068
74	Proportional	Latin	uni0069
75	Proportional	Latin	uni006A
76	Proportional	Latin	uni006B
77	Proportional	Latin	uni006C
78	Proportional	Latin	uni006D
79	Proportional	Latin	uni006E
80	Proportional	Latin	uni006F
81	Proportional	Latin	uni0070
82	Proportional	Latin	uni0071
83	Proportional	Latin	uni0072
84	Proportional	Latin	uni0073
85	Proportional	Latin	uni0074
86	Proportional	Latin	uni0075
87	Proportional	Latin	uni0076
88	Proportional	Latin	uni0077
89	Proportional	Latin	uni0078
90	Proportional	Latin	uni0079
91	Proportional	Latin	uni007A
92	Proportional	Latin	uni007B
93	Proportional	Latin	uni007C
94	Proportional	Latin	uni007D
95	Proportional	Latin	uni007E
96	Proportional	Latin	uni00A1
97	Proportional	Latin	uni00A2
98	Proportional	Latin	uni00A3
99	Proportional	Latin	uni00A4
100	Proportional	Latin	uni00A5
101	Proportional	Latin	uni00A6
102	Dingbats	r00	uni00A7
103	Proportional	Latin	uni00A8
104	Proportional	Latin	uni00A9
105	Proportional	Latin	uni00AA
106	Proportional	Latin	uni00AB
107	Proportional	Latin	uni00AC
108	Proportional	Latin	uni00AE
109	Proportional	Latin	uni00AF
110	Proportional	Latin	uni00B0
111	Dingbats	r00	uni00B1
112	Proportional	Latin	uni00B2
113	Proportional	Latin	uni00B3
114	Proportional	Latin	uni00B4
115	Proportional	Latin	uni00B5
116	Dingbats	r00	uni00B6
117	Proportional	Latin	uni00B7
118	Proportional	Latin	uni00B8
119	Proportional	Latin	uni00B9
120	Proportional	Latin	uni00BA
121	Proportional	Latin	uni00BB
122	Proportional	Latin	uni00BC
123	Proportional	Latin	uni00BD
124	Proportional	Latin	uni00BE
125	Proportional	Latin	uni00BF
126	Proportional	Latin	uni00C0
127	Proportional	Latin	uni00C1
128	Proportional	Latin	uni00C2
129	Proportional	Latin	uni00C3
130	Proportional	Latin	uni00C4
131	Proportional	Latin	uni00C5
132	Proportional	Latin	uni00C6
133	Proportional	Latin	uni00C7
134	Proportional	Latin	uni00C8
135	Proportional	Latin	uni00C9
136	Proportional	Latin	uni00CA
137	Proportional	Latin	uni00CB
138	Proportional	Latin	uni00CC
139	Proportional	Latin	uni00CD
140	Proportional	Latin	uni00CE
141	Proportional	Latin	uni00CF
142	Proportional	Latin	uni00D0
143	Proportional	Latin	uni00D1
144	Proportional	Latin	uni00D2
145	Proportional	Latin	uni00D3
146	Proportional	Latin	uni00D4
147	Proportional	Latin	uni00D5
148	Proportional	Latin	uni00D6
149	Dingbats	r00	uni00D7
150	Proportional	Latin	uni00D8
151	Proportional	Latin	uni00D9
152	Proportional	Latin	uni00DA
153	Proportional	Latin	uni00DB
154	Proportional	Latin	uni00DC
155	Proportional	Latin	uni00DD
156	Proportional	Latin	uni00DE
157	Proportional	Latin	uni00DF
158	Proportional	Latin	uni00E0
159	Proportional	Latin	uni00E1
160	Proportional	Latin	uni00E2
161	Proportional	Latin	uni00E3
162	Proportional	Latin	uni00E4
163	Proportional	Latin	uni00E5
164	Proportional	Latin	uni00E6
165	Proportional	Latin	uni00E7
166	Proportional	Latin	uni00E8
167	Proportional	Latin	uni00E9
168	Proportional	Latin	uni00EA
169	Proportional	Latin	uni00EB
170	Proportional	Latin	uni00EC
171	Proportional	Latin	uni00ED
172	Proportional	Latin	uni00EE
173	Proportional	Latin	uni00EF
174	Proportional	Latin	uni00F0
175	Proportional	Latin	uni00F1
176	Proportional	Latin	uni00F2
177	Proportional	Latin	uni00F3
178	Proportional	Latin	uni00F4
179	Proportional	Latin	uni00F5
180	Proportional	Latin	uni00F6
181	Dingbats	r00	uni00F7
182	Proportional	Latin	uni00F8
183	Proportional	Latin	uni00F9
184	Proportional	Latin	uni00FA
185	Proportional	Latin	uni00FB
186	Proportional	Latin	uni00FC
187	Proportional	Latin	uni00FD
188	Proportional	Latin	uni00FE
189	Proportional	Latin	uni00FF
190	Proportional	Latin	uni0100
191	Proportional	Latin	uni0101
192	Proportional	Latin	uni0102
193	Proportional	Latin	uni0103
194	Proportional	Latin	uni0110
195	Proportional	Latin	uni0111
196	Proportional	Latin	uni0112
197	Proportional	Latin	uni0113
198	Proportional	Latin	uni011A
199	Proportional	Latin	uni011B
200	Proportional	Latin	uni0128
201	Proportional	Latin	uni0129
202	Proportional	Latin	uni012A
203	Proportional	Latin	uni012B
204	Proportional	Latin	uni0143
205	Proportional	Latin	uni0144
206	Proportional	Latin	uni0147
207	Proportional	Latin	uni0148
208	Proportional	Latin	uni014C
209	Proportional	Latin	uni014D
210	Proportional	Latin	uni014E
211	Proportional	Latin	uni014F
212	Proportional	Latin	uni0152
213	Proportional	Latin	uni0153
214	Proportional	Latin	uni0168
215	Proportional	Latin	uni0169
216	Proportional	Latin	uni016A
217	Proportional	Latin	uni016B
218	Proportional	Latin	uni016C
219	Proportional	Latin	uni016D
220	Proportional	Latin	uni0192
221	Proportional	Latin	uni01A0
222	Proportional	Latin	uni01A1
223	Proportional	Latin	uni01AF
224	Proportional	Latin	uni01B0
225	Proportional	Latin	uni01CD
226	Proportional	Latin	uni01CE
227	Proportional	Latin	uni01CF
228	Proportional	Latin	uni01D0
229	Proportional	Latin	uni01D1
230	Proportional	Latin	uni01D2
231	Proportional	Latin	uni01D3
232	Proportional	Latin	uni01D4
233	Proportional	Latin	uni01D5
234	Proportional	Latin	uni01D6
235	Proportional	Latin	uni01D7
236	Proportional	Latin	uni01D8
237	Proportional	Latin	uni01D9
238	Proportional	Latin	uni01DA
239	Proportional	Latin	uni01DB
240	Proportional	Latin	uni01DC
241	Proportional	Latin	uni01F8
242	Proportional	Latin	uni01F9
243	Proportional	Latin	uni0251
244	Proportional	Latin	uni0261
245	Dingbats	r02	uni02C7
246	Dingbats	r02	uni02C9
247	Dingbats	r02	uni02CA
248	Dingbats	r02	uni02CB
249	Dingbats	r02	uni02D9
250	Dingbats	r02	uni02EA
251	Dingbats	r02	uni02EB
252	Dingbats	r03	uni0300
253	Dingbats	r03	uni0301
254	Proportional	Latin	uni0304
255	Dingbats	r03	uni0307
256	Dingbats	r03	uni030C
257	Proportional	Greek	uni0391
258	Proportional	Greek	uni0392
259	Proportional	Greek	uni0393
260	Proportional	Greek	uni0394
261	Proportional	Greek	uni0395
262	Proportional	Greek	uni0396
263	Proportional	Greek	uni0397
264	Proportional	Greek	uni0398
265	Proportional	Greek	uni0399
266	Proportional	Greek	uni039A
267	Proportional	Greek	uni039B
268	Proportional	Greek	uni039C
269	Proportional	Greek	uni039D
270	Proportional	Greek	uni039E
271	Proportional	Greek	uni039F
272	Proportional	Greek	uni03A0
273	Proportional	Greek	uni03A1
274	Proportional	Greek	uni03A3
275	Proportional	Greek	uni03A4
276	Proportional	Greek	uni03A5
277	Proportional	Greek	uni03A6
278	Proportional	Greek	uni03A7
279	Proportional	Greek	uni03A8
280	Proportional	Greek	uni03A9
281	Proportional	Greek	uni03B1
282	Proportional	Greek	uni03B2
283	Proportional	Greek	uni03B3
284	Proportional	Greek	uni03B4
285	Proportional	Greek	uni03B5
286	Proportional	Greek	uni03B6
287	Proportional	Greek	uni03B7
288	Proportional	Greek	uni03B8
289	Proportional	Greek	uni03B9
290	Proportional	Greek	uni03BA
291	Proportional	Greek	uni03BB
292	Proportional	Greek	uni03BC
293	Proportional	Greek	uni03BD
294	Proportional	Greek	uni03BE
295	Proportional	Greek	uni03BF
296	Proportional	Greek	uni03C0
297	Proportional	Greek	uni03C1
298	Proportional	Greek	uni03C2
299	Proportional	Greek	uni03C3
300	Proportional	Greek	uni03C4
301	Proportional	Greek	uni03C5
302	Proportional	Greek	uni03C6
303	Proportional	Greek	uni03C7
304	Proportional	Greek	uni03C8
305	Proportional	Greek	uni03C9
306	Proportional	Cyrillic	uni0401
307	Proportional	Cyrillic	uni0410
308	Proportional	Cyrillic	uni0411
309	Proportional	Cyrillic	uni0412
310	Proportional	Cyrillic	uni0413
311	Proportional	Cyrillic	uni0414
312	Proportional	Cyrillic	uni0415
313	Proportional	Cyrillic	uni0416
314	Proportional	Cyrillic	uni0417
315	Proportional	Cyrillic	uni0418
316	Proportional	Cyrillic	uni0419
317	Proportional	Cyrillic	uni041A
318	Proportional	Cyrillic	uni041B
319	Proportional	Cyrillic	uni041C
320	Proportional	Cyrillic	uni041D
321	Proportional	Cyrillic	uni041E
322	Proportional	Cyrillic	uni041F
323	Proportional	Cyrillic	uni0420
324	Proportional	Cyrillic	uni0421
325	Proportional	Cyrillic	uni0422
326	Proportional	Cyrillic	uni0423
327	Proportional	Cyrillic	uni0424
328	Proportional	Cyrillic	uni0425
329	Proportional	Cyrillic	uni0426
330	Proportional	Cyrillic	uni0427
331	Proportional	Cyrillic	uni0428
332	Proportional	Cyrillic	uni0429
333	Proportional	Cyrillic	uni042A
334	Proportional	Cyrillic	uni042B
335	Proportional	Cyrillic	uni042C
336	Proportional	Cyrillic	uni042D
337	Proportional	Cyrillic	uni042E
338	Proportional	Cyrillic	uni042F
339	Proportional	Cyrillic	uni0430
340	Proportional	Cyrillic	uni0431
341	Proportional	Cyrillic	uni0432
342	Proportional	Cyrillic	uni0433
343	Proportional	Cyrillic	uni0434
344	Proportional	Cyrillic	uni0435
345	Proportional	Cyrillic	uni0436
346	Proportional	Cyrillic	uni0437
347	Proportional	Cyrillic	uni0438
348	Proportional	Cyrillic	uni0439
349	Proportional	Cyrillic	uni043A
350	Proportional	Cyrillic	uni043B
351	Proportional	Cyrillic	uni043C
352	Proportional	Cyrillic	uni043D
353	Proportional	Cyrillic	uni043E
354	Proportional	Cyrillic	uni043F
355	Proportional	Cyrillic	uni0440
356	Proportional	Cyrillic	uni0441
357	Proportional	Cyrillic	uni0442
358	Proportional	Cyrillic	uni0443
359	Proportional	Cyrillic	uni0444
360	Proportional	Cyrillic	uni0445
361	Proportional	Cyrillic	uni0446
362	Proportional	Cyrillic	uni0447
363	Proportional	Cyrillic	uni0448
364	Proportional	Cyrillic	uni0449
365	Proportional	Cyrillic	uni044A
366	Proportional	Cyrillic	uni044B
367	Proportional	Cyrillic	uni044C
368	Proportional	Cyrillic	uni044D
369	Proportional	Cyrillic	uni044E
370	Proportional	Cyrillic	uni044F
371	Proportional	Cyrillic	uni0451
372	Proportional	Latin	uni1E3E
373	Proportional	Latin	uni1E3F
374	Proportional	Latin	uni1EA0
375	Proportional	Latin	uni1EA1
376	Proportional	Latin	uni1EA2
377	Proportional	Latin	uni1EA3
378	Proportional	Latin	uni1EA4
379	Proportional	Latin	uni1EA5
380	Proportional	Latin	uni1EA6
381	Proportional	Latin	uni1EA7
382	Proportional	Latin	uni1EA8
383	Proportional	Latin	uni1EA9
384	Proportional	Latin	uni1EAA
385	Proportional	Latin	uni1EAB
386	Proportional	Latin	uni1EAC
387	Proportional	Latin	uni1EAD
388	Proportional	Latin	uni1EAE
389	Proportional	Latin	uni1EAF
390	Proportional	Latin	uni1EB0
391	Proportional	Latin	uni1EB1
