Adobe-Japan1-7	Adobe-Manga1-0
656	2799
1125	2754
1126	3949
1127	4718
1128	14042
1129	3900
1130	5851
1131	6197
1132	4711
1133	16549
1134	11457
1135	11257
1136	9860
1137	5769
1138	6321
1139	8017
1140	6637
1141	11444
1142	16516
1143	14915
1144	7111
1145	4261
1146	6583
1147	6084
1148	4918
1149	4686
1150	11773
1151	16566
1152	10384
1153	10450
1154	14847
1155	6021
1156	10242
1157	12123
1158	4901
1159	5401
1160	6183
1161	6769
1162	7063
1163	13989
1164	14268
1165	6891
1166	2807
1167	2831
1168	2873
1169	2939
1170	3064
1171	4222
1172	4589
1173	4690
1174	4717
1175	5004
1176	5805
1177	5840
1178	5907
1179	6664
1180	7200
1181	8391
1182	9053
1183	9079
1184	9801
1185	10434
1186	10490
1187	10856
1188	11400
1189	12079
1190	12515
1191	13245
1192	13274
1193	3622
1194	2748
1195	2762
1196	4368
1197	10851
1198	13318
1199	9634
1200	2650
1201	4537
1202	16471
1203	13222
1204	9835
1205	16517
1206	11158
1207	16576
1208	3239
1209	3663
1210	3897
1211	3914
1212	4209
1213	4714
1214	5476
1215	14471
1216	16470
1217	10879
1218	11563
1219	14063
1220	14071
1221	14110
1222	14341
1223	3774
1224	3760
1225	4899
1226	8396
1227	10699
1228	16544
1229	14160
1230	3662
1231	15078
1232	9921
1233	2666
1234	9576
1235	11058
1236	8018
1237	4088
1238	3936
1239	7530
1240	11548
1241	14968
1242	4699
1243	16419
1244	7896
1245	8968
1246	13952
1247	16427
1248	2745
1249	13235
1250	14167
1251	11294
1252	16568
1253	3742
1254	4035
1255	4846
1256	5549
1257	6672
1258	6824
1259	7022
1260	7708
1261	7836
1262	7862
1263	8890
1264	9320
1265	9858
1266	14382
1267	11229
1268	12071
1269	12392
1270	13691
1271	7936
1272	9120
1273	9322
1274	14577
1275	5765
1276	12514
1277	12807
1278	13977
1279	7291
1280	3701
1281	3293
1282	4244
1283	4416
1284	4596
1285	4937
1286	5447
1287	5681
1288	6287
1289	6332
1290	7795
1291	8159
1292	8368
1293	8423
1294	8456
1295	8515
1296	8722
1297	10500
1298	11143
1299	11204
1300	11631
1301	13253
1302	13592
1303	15041
1304	4449
1305	6602
1306	7727
1307	9018
1308	3382
1309	4581
1310	4621
1311	5562
1312	5628
1313	6129
1314	6644
1315	7392
1316	7537
1317	7632
1318	8767
1319	10702
1320	16530
1321	15051
1322	15035
1323	15247
1324	5101
1325	7768
1326	11312
1327	3195
1328	5052
1329	5956
1330	11015
1331	7092
1332	8598
1333	2716
1334	3001
1335	3670
1336	5722
1337	8020
1338	9859
1339	14334
1340	2660
1341	3591
1342	2811
1343	2881
1344	2862
1345	2943
1346	2902
1347	3495
1348	3756
1349	4077
1350	4555
1351	4801
1352	4939
1353	4973
1354	9775
1355	6758
1356	6948
1357	6963
1358	7558
1359	7786
1360	8352
1361	8799
1362	9731
1363	9761
1364	9843
1365	10057
1366	11188
1367	11212
1368	11243
1369	11310
1370	11379
1371	11365
1372	11916
1373	12456
1374	4093
1375	12693
1376	16546
1377	13238
1378	14195
1379	11778
1380	2962
1381	5136
1382	6016
1383	16486
1384	9036
1385	11039
1386	11198
1387	11850
1388	12714
1389	14137
1390	14489
1391	14586
1392	2786
1393	2844
1394	12306
1395	4207
1396	4428
1397	4507
1398	16438
1399	5638
1400	5683
1401	5750
1402	16441
1403	5976
1404	6017
1405	6145
1406	6517
1407	14797
1408	16455
1409	7136
1410	7905
1411	8356
1412	9050
1413	9275
1414	10396
1415	11176
1416	12002
1417	13948
1418	14096
1419	12685
1420	3374
1421	3519
1422	4561
1423	3890
1424	4936
1425	5162
1426	5902
1427	7287
1428	7935
1429	9572
1430	11507
1431	12067
1432	12406
1433	13807
1434	14694
1435	7900
1436	14559
1437	11827
1438	4338
1439	7018
1440	11821
1441	13537
1442	3474
1443	4152
1444	3770
1445	5423
1446	6160
1447	6432
1448	7052
1449	7049
1450	7638
1451	8750
1452	9600
1453	9876
1454	12270
1455	12296
1456	12791
1457	13024
1458	13344
1459	13966
1460	14099
1461	14244
1462	4875
1463	5114
1464	7282
1465	14397
1466	14398
1467	6275
1468	9991
1469	7393
1470	7441
1471	7142
1472	14931
1473	8202
1474	3463
1475	4020
1476	5728
1477	6162
1478	7875
1479	7998
1480	8122
1481	16518
1482	12181
1483	13075
1484	2668
1485	14966
1486	3763
1487	7219
1488	7404
1489	16563
1490	7039
1491	3262
1492	9927
1493	11488
1494	16556
1495	13791
1496	4126
1497	15048
1498	7035
1499	11244
1500	11413
1501	10247
1502	3394
1503	11201
1504	8975
1505	2732
1506	2916
1507	3311
1508	4960
1509	3395
1510	3540
1511	3554
1512	5289
1513	4018
1514	4413
1515	4700
1516	4904
1517	4915
1518	4968
1519	5359
1520	5366
1521	5762
1522	5854
1523	5898
1524	5961
1525	6318
1526	6546
1527	6984
1528	7072
1529	7192
1530	7551
1531	7563
1532	7725
1533	8166
1534	8238
1535	8188
1536	8947
1537	9008
1538	9338
